ticker,base,quote,exchange,price,ask,bid,spread,volume
ren-BTC,ren,BTC,binance,1.00176,1.00176,0.99802,0.0037399999999999656,19.1267
renbtc-eth,renbtc,eth,binance,36.0175,36.2471,35.8605,0.3866000000000014,4.4975
dnt-usd,dnt,usd,binance,0.04768,0.0479,0.04774,0.00016000000000000042,12537839.7
slp-eth,slp,eth,binance,4.153e-05,4.235e-05,4.167e-05,6.800000000000003e-07,4021615.0
cvp-eth,cvp,eth,binance,0.004575,0.004614,0.00458,3.4000000000000176e-05,8916.73
strax-BTC,strax,BTC,binance,2.574e-05,2.591e-05,2.574e-05,1.7000000000000007e-07,569789.1
strax-eth,strax,eth,binance,0.000945,0.00094,0.000932,7.999999999999978e-06,42121.84
strax-usd,strax,usd,binance,0.6035,0.6036,0.6027,0.0009000000000000119,540619.11
for-BTC,for,BTC,binance,8.2e-07,8.3e-07,8.1e-07,2.000000000000002e-08,6403614.0
unfi-BTC,unfi,BTC,binance,0.00039481,0.00039572,0.00039461,1.1100000000000216e-06,267398.7
unfi-usd,unfi,usd,binance,9.2467,9.2478,9.2058,0.041999999999999815,773098.76
front-eth,front,eth,binance,0.0004969,0.0005045,0.000497,7.499999999999911e-06,332621.0
rose-BTC,rose,BTC,binance,2.43e-06,2.43e-06,2.42e-06,9.999999999999904e-09,143779131.0
rose-usd,rose,usd,binance,0.05674,0.05674,0.05667,7.000000000000062e-05,281091178.3
ava-usd,ava,usd,binance,0.8124,0.8156,0.8094,0.006199999999999983,144759.23
xem-usd,xem,usd,binance,0.2938,0.294,0.2937,0.00029999999999996696,36937233.53
hegic-eth,hegic,eth,binance,0.000267,0.000267,0.0002642,2.7999999999999596e-06,418329.0
aaveup-usd,aaveup,usd,binance,19.76,20.0,19.776,0.2240000000000002,83210.41
aavedown-usd,aavedown,usd,binance,1.667,1.639,1.633,0.006000000000000005,1560474.27
skl-BTC,skl,BTC,binance,4.92e-06,4.94e-06,4.92e-06,1.999999999999981e-08,32210842.0
skl-usd,skl,usd,binance,0.1154,0.11541,0.11511,0.0002999999999999947,113055614.9
susd-BTC,susd,BTC,binance,4.332e-05,4.407e-05,4.28e-05,1.2700000000000065e-06,54179.0
susd-eth,susd,eth,binance,0.0015511,0.0015648,0.0015448,2.0000000000000052e-05,29117.0
susd-usd,susd,usd,binance,1.0057,1.0075,1.0057,0.0018000000000000238,134322.87
cover-eth,cover,eth,binance,1.4692,1.4691,1.4581,0.01100000000000012,763.4754
glm-BTC,glm,BTC,binance,5.16e-06,5.21e-06,5.16e-06,5.000000000000037e-08,3324013.0
glm-eth,glm,eth,binance,0.000188,0.0001882,0.0001864,1.7999999999999895e-06,2080724.0
ghst-eth,ghst,eth,binance,0.00099,0.0009882,0.0009775,1.0699999999999989e-05,139308.0
sushiup-usd,sushiup,usd,binance,16.629,16.476,16.259,0.21699999999999875,85194.64
sushidown-usd,sushidown,usd,binance,4.083,4.075,4.043,0.03200000000000003,256342.93
xlmup-usd,xlmup,usd,binance,12.311,12.277,12.113,0.1639999999999997,15949.48
